candidate,submission_file,weighted_avg_mape,folds_evaluated,scenarios_covered,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape
timesfm_direct_log1p_w0.00,submission_best_timesfm_tuned_direct_log1p_w0.00.csv,6.780204831476722,8,4,147758.71804008627,5.940968043854491,157212.96149618024,6.831748519851248,152485.83976813324,6.3863582818528695
timesfm_direct_raw_w0.00,submission_best_timesfm_tuned_direct_raw_w0.00.csv,6.780204831476722,8,4,147758.71804008627,5.940968043854491,157212.96149618024,6.831748519851248,152485.83976813324,6.3863582818528695
timesfm_recursive64_log1p_w0.00,submission_best_timesfm_tuned_recursive64_log1p_w0.00.csv,6.780204831476722,8,4,147758.71804008627,5.940968043854491,157212.96149618024,6.831748519851248,152485.83976813324,6.3863582818528695
timesfm_recursive64_raw_w0.00,submission_best_timesfm_tuned_recursive64_raw_w0.00.csv,6.780204831476722,8,4,147758.71804008627,5.940968043854491,157212.96149618024,6.831748519851248,152485.83976813324,6.3863582818528695
timesfm_direct_raw_w0.02,submission_best_timesfm_tuned_direct_raw_w0.02.csv,6.802186396278918,8,4,148198.8038631984,5.917075479921061,157712.28838190765,6.816762715448917,152955.54612255303,6.366919097684988
timesfm_recursive64_raw_w0.02,submission_best_timesfm_tuned_recursive64_raw_w0.02.csv,6.87793047135182,8,4,149986.2423333965,5.983982512395174,157841.21323777485,6.831272336952761,153913.72778558568,6.407627424673968
timesfm_recursive64_log1p_w0.02,submission_best_timesfm_tuned_recursive64_log1p_w0.02.csv,6.909450686096058,8,4,154594.26013808273,6.055883640510578,164171.03655108725,6.986212016918539,159382.648344585,6.521047828714558
timesfm_direct_log1p_w0.02,submission_best_timesfm_tuned_direct_log1p_w0.02.csv,6.935047810571019,8,4,154520.51641793322,6.063025565170106,164547.158569291,6.997227153263239,159533.8374936121,6.5301263592166725
timesfm_direct_raw_w0.05,submission_best_timesfm_tuned_direct_raw_w0.05.csv,7.124474876089629,8,4,154864.9762380151,6.182676757159649,162072.52998931843,6.975311109112235,158468.75311366678,6.578993933135942
timesfm_recursive64_log1p_w0.05,submission_best_timesfm_tuned_recursive64_log1p_w0.05.csv,7.277494687627726,8,4,169845.65370618357,6.379041377612548,178004.26043359344,7.359165011844418,173924.9570698885,6.869103194728483
timesfm_direct_log1p_w0.05,submission_best_timesfm_tuned_direct_log1p_w0.05.csv,7.3189066197304005,8,4,169041.1898383891,6.375914230265611,178536.85408020657,7.361677896715441,173789.02195929782,6.868796063490526
timesfm_recursive64_raw_w0.05,submission_best_timesfm_tuned_recursive64_raw_w0.05.csv,7.577690885799232,8,4,163550.4540989644,6.54261791334033,164152.3316208136,7.1132923159188755,163851.39285988902,6.827955114629603
timesfm_direct_raw_w0.08,submission_best_timesfm_tuned_direct_raw_w0.08.csv,7.7719069051226,8,4,167137.64290908063,6.740042887733864,171530.99304319845,7.411962297867018,169334.31797613954,7.0760025928004415
timesfm_recursive64_log1p_w0.08,submission_best_timesfm_tuned_recursive64_log1p_w0.08.csv,7.824732905040087,8,4,188472.98556765713,6.848915766943544,195135.00726404233,7.893638268237147,191803.99641584975,7.371277017590345
timesfm_direct_log1p_w0.08,submission_best_timesfm_tuned_direct_log1p_w0.08.csv,7.833652135807713,8,4,186762.16210754967,6.796341365431291,195733.1681551491,7.8681219920019165,191247.66513134938,7.332231678716604
timesfm_direct_log1p_w0.10,submission_best_timesfm_tuned_direct_log1p_w0.10.csv,8.232440018686217,8,4,199856.60348520565,7.1390733462128555,208085.98867201476,8.255048219142669,203971.2960786102,7.697060782677763
timesfm_recursive64_log1p_w0.10,submission_best_timesfm_tuned_recursive64_log1p_w0.10.csv,8.253388656528301,8,4,202183.81321270514,7.225140604597513,207435.76337318838,8.30043226637806,204809.78829294676,7.762786435487787
timesfm_direct_raw_w0.10,submission_best_timesfm_tuned_direct_raw_w0.10.csv,8.331008020442098,8,4,177632.2239366751,7.22822555959346,179906.21610029275,7.809614306282401,178769.2200184839,7.51891993293793
timesfm_recursive64_raw_w0.08,submission_best_timesfm_tuned_recursive64_raw_w0.08.csv,8.754207022220761,8,4,184423.74393590432,7.490639914601469,176393.15603888847,7.713719361856521,180408.4499873964,7.6021796382289955
timesfm_direct_log1p_w0.15,submission_best_timesfm_tuned_direct_log1p_w0.15.csv,9.39198354763003,8,4,235200.5026153725,8.137277824919,241036.41400882133,9.34915209489542,238118.45831209692,8.74321495990721
timesfm_recursive64_log1p_w0.15,submission_best_timesfm_tuned_recursive64_log1p_w0.15.csv,9.473063735363413,8,4,239147.15675743608,8.301438896877828,240354.60146824276,9.451835590408857,239750.8791128394,8.876637243643343
timesfm_recursive64_raw_w0.10,submission_best_timesfm_tuned_recursive64_raw_w0.10.csv,9.69406405769561,8,4,201204.01914279893,8.26016365849136,187083.00949283058,8.241647403701396,194143.51431781476,8.250905531096379
timesfm_direct_raw_w0.15,submission_best_timesfm_tuned_direct_raw_w0.15.csv,10.01088805864869,8,4,211321.36072591145,8.766661688718285,205405.12794083578,9.03963229410314,208363.24433337362,8.903146991410711
timesfm_direct_log1p_w0.20,submission_best_timesfm_tuned_direct_log1p_w0.20.csv,10.691326810764327,8,4,272883.5056395055,9.248925330498041,276443.51021348767,10.610122468155273,274663.50792649656,9.929523899326657
timesfm_recursive64_log1p_w0.20,submission_best_timesfm_tuned_recursive64_log1p_w0.20.csv,10.8661512484436,8,4,278727.803269948,9.513593479579713,275641.027882334,10.76591348483338,277184.41557614104,10.139753482206546
timesfm_direct_raw_w0.20,submission_best_timesfm_tuned_direct_raw_w0.20.csv,12.006707184617223,8,4,253787.81188201805,10.663147832647658,236270.74450020833,10.535433571779285,245029.2781911132,10.599290702213471
timesfm_recursive64_raw_w0.15,submission_best_timesfm_tuned_recursive64_raw_w0.15.csv,12.379367593346226,8,4,251471.74501735243,10.528677073975249,218247.81249231534,9.794098863547507,234859.77875483388,10.161387968761378
timesfm_recursive64_raw_w0.20,submission_best_timesfm_tuned_recursive64_raw_w0.20.csv,15.368963052562105,8,4,309829.57005109143,13.120837519492857,255415.0001222433,11.652776004304794,282622.2850866674,12.386806761898825
