Feature,Real_Importance,Mean_Null_Importance,Std_Null_Importance,Signal_Score
quarter_cos,79,3.2,2.7313000567495327,24.68749228515866
season,59,4.2,2.249444375840399,14.047615702948642
promo_sum_discount,127,11.5,6.476881965884511,11.043477300567192
week_of_month,97,10.75,8.613216588476108,9.023254974580933
promo_n_fixed,16,2.3,3.976179070414209,6.956518714557081
days_from_start,429,75.6,21.13859030304528,5.674603099542288
trend_log,80,17.3,5.487257967327579,4.624277189348139
post_covid_days,24,5.95,8.102314484145873,4.033612767460039
trend_sqrt,6,1.6,1.42828568570857,3.7499976562514648
is_weekend,11,2.95,3.0244834269673224,3.7288122953178657
month,25,6.9,5.3376024580330075,3.6231878806974085
woy_cos,223,64.1,18.357287381309906,3.478939103292682
month_cos,58,17.2,10.533755265810955,3.3720928272039052
promo_intensity,23,7.4,3.839270764090493,3.1081076880935554
week_of_year,103,33.95,13.275823891570722,3.033873253788711
f_month_cos_1,428,164.2,31.775147521294063,2.6065773288271785
days_since_payday,131,55.45,10.763247651150651,2.3624886859785628
quarter,2,0.85,1.0136567466356645,2.352938408307755
day_sin,282,121.45,28.461333419219837,2.3219431673779893
dow_sin,162,71.5,20.57790076757102,2.265734234045675
trend_x_post_covid,1,0.5,0.7416198487095663,1.999996000008
web_unique_visitors_lag2y,40,24.0,12.066482503198685,1.666666597222225
day_of_week,142,85.25,26.720544530379616,1.665689130021242
is_month_end,18,12.35,10.036309082526303,1.457489760527145
orders_n_orders_lag1y,125,86.7,24.817534124082513,1.4417531552277607
post_lockdown_days,3,2.4,1.772004514666935,1.2499994791668836
ship_avg_ship_fee_lag2y,60,54.1,14.621559424356898,1.1090572807937655
rev_rmean_728_7,380,343.2,74.82686683270923,1.107226103999924
f_year_sin_1,221,200.4,42.749736841295295,1.1027944056746786
web_unique_visitors_lag1y,51,46.6,15.919798993705921,1.094420577372949
month_sin,7,6.4,3.4263683398023628,1.093749829101589
is_month_start,15,15.95,13.883353341322117,0.9404388125116733
dow_cos,42,51.8,22.173407496368256,0.8108107951580928
orders_n_orders_yoy_ratio,69,85.7,25.836214893052738,0.8051341796367073
rev_lag_1456,98,139.45,32.27301504353134,0.7027608411419087
f_quarter_cos_1,119,175.0,27.400729917285048,0.6799999961142857
returns_n_returns_lag1y,66,106.8,30.58529058223904,0.6179775223035813
pay_avg_payment_lag2y,26,42.7,17.289013852733188,0.6088992831639513
returns_n_returns_lag2y,35,59.45,25.47837318197534,0.5887300153283429
promo_min_order_thresh,7,13.85,11.091776232867304,0.5054151259628068
pay_installment_rate_lag2y,30,74.65,20.234314913038197,0.40187541323676607
cogs_rmean_912_30,36,97.8,19.97648617750379,0.36809815574541765
days_to_quarter_end,22,68.3,28.5798880333706,0.32210834081832596
rev_rmean_912_90,21,80.15,22.388110684021548,0.26200873035547434
cogs_rmean_548_30,32,134.6,30.030651008594536,0.2377414544001378
web_avg_session_duration_sec_lag1y,17,81.7,26.696629000680964,0.2080783328264586
rev_rmean_728_90,27,139.5,25.002999820021596,0.19354838570933058
web_avg_session_duration_sec_lag2y,13,70.8,22.57565059970587,0.1836158166155958
orders_n_delivered_lag2y,9,49.75,21.349180312133765,0.1809045189767936
ship_avg_delivery_days_lag1y,14,83.5,23.322735688593653,0.16766466865072255
days_to_labor_day,13,97.3,33.054651715000716,0.13360739842130115
cogs_rmean_728_30,17,171.95,51.42419177780045,0.09886594882892732
cogs_lag_548,24,291.8,44.707493779007564,0.08224811486549652
cogs_lag_728,24,322.35,46.8916570404587,0.07445323383138441
cogs_lag_912,11,202.65,53.56797084079254,0.05428077940152588
quarter_sin,0,1.55,1.5644487847162019,0.0
is_year_start_month,0,0.0,0.0,0.0
is_tet_month,0,0.3,0.7810249675906654,0.0
is_covid_period,0,0.4,0.66332495807108,0.0
is_pre_covid,0,0.0,0.0,0.0
